path	stage	reason	file_size_bytes
.gitignore	yes	freeze policy/documentation pointer update	1262
README.md	yes	freeze policy/documentation pointer update	5506
configs/planA_k/full_m2_5_feature_lock.draft.json	yes	approved M0-M2.5 backbone file	22233
docs/planA_k_gpcca/04_niche_state_coarsening_design.md	yes	approved M0-M2.5 backbone file	1546
docs/planA_k_gpcca/05_m2_5_metaniche_pilot_protocol.md	yes	approved M0-M2.5 backbone file	1990
docs/planA_k_gpcca/06_m2_5_state_contract_v2.md	yes	approved M0-M2.5 backbone file	2245
docs/planA_k_m0_m2_5_backbone.md	yes	approved M0-M2.5 backbone file	4020
reports/git_freeze_m0_m2_5/00_GIT_PREFLIGHT.json	yes	small freeze audit report	32738
reports/git_freeze_m0_m2_5/00_GIT_PREFLIGHT.md	yes	small freeze audit report	20139
reports/git_freeze_m0_m2_5/01_M0_M2_5_FILE_INVENTORY.json	yes	small freeze audit report	624486
reports/git_freeze_m0_m2_5/01_M0_M2_5_FILE_INVENTORY.md	yes	small freeze audit report	10594
reports/git_freeze_m0_m2_5/01_M0_M2_5_FILE_INVENTORY.tsv	yes	small freeze audit report	294961
reports/git_freeze_m0_m2_5/02_GITIGNORE_AUDIT.json	yes	small freeze audit report	1564
reports/git_freeze_m0_m2_5/02_GITIGNORE_AUDIT.md	yes	small freeze audit report	853
reports/git_freeze_m0_m2_5/03_M0_M2_5_VALIDATION.json	yes	small freeze audit report	1455
reports/git_freeze_m0_m2_5/03_M0_M2_5_VALIDATION.md	yes	small freeze audit report	1156
reports/git_freeze_m0_m2_5/04_PROPOSED_STAGING_LIST.json	yes	small freeze audit report	7416
reports/git_freeze_m0_m2_5/04_PROPOSED_STAGING_LIST.md	yes	small freeze audit report	3993
reports/git_freeze_m0_m2_5/04_PROPOSED_STAGING_LIST.tsv	yes	small freeze audit report	3490
scripts/planA_k_04_m2_inventory.py	yes	approved M0-M2.5 backbone file	4274
scripts/planA_k_05_metaniche_pilot.py	yes	approved M0-M2.5 backbone file	3124
scripts/planA_k_06_metaniche_qc.py	yes	approved M0-M2.5 backbone file	3204
scripts/planA_k_07_coordinate_rescue.py	yes	approved M0-M2.5 backbone file	4626
scripts/planA_k_08_metaniche_hardening_qc.py	yes	approved M0-M2.5 backbone file	3245
scripts/planA_k_09_stratified_metaniche_pilot.py	yes	approved M0-M2.5 backbone file	5205
scripts/planA_k_21_production_preflight.py	yes	approved M0-M2.5 backbone file	1734
scripts/planA_k_22_full_run_blueprint.py	yes	approved M0-M2.5 backbone file	1657
scripts/planA_k_23_run_full_m2_5_production.py	yes	approved M0-M2.5 backbone file	3298
src/nichefate/planA_k/__init__.py	yes	approved M0-M2.5 backbone file	675
src/nichefate/planA_k/coordinates.py	yes	approved M0-M2.5 backbone file	23648
src/nichefate/planA_k/full_m2_5_production.py	yes	approved M0-M2.5 backbone file	37755
src/nichefate/planA_k/io.py	yes	approved M0-M2.5 backbone file	5139
src/nichefate/planA_k/kernel_qc.py	yes	shared import compatibility for M2.5 modules; no kernel outputs included	13162
src/nichefate/planA_k/m2_inventory.py	yes	approved M0-M2.5 backbone file	16645
src/nichefate/planA_k/metaniche.py	yes	approved M0-M2.5 backbone file	59040
src/nichefate/planA_k/production_preflight.py	yes	approved M0-M2.5 backbone file	49971
src/nichefate/planA_k/rare_state.py	yes	approved M0-M2.5 backbone file	4532
src/nichefate/planA_k/reporting.py	yes	approved M0-M2.5 backbone file	637
src/nichefate/planA_k/schemas.py	yes	approved M0-M2.5 backbone file	3886
src/nichefate/planA_k/validation.py	yes	approved M0-M2.5 backbone file	1186
src/nichefate/planA_k_gpcca.py	yes	approved M0-M2.5 backbone file	1026
tests/test_planA_k_full_m2_5_production.py	yes	approved M0-M2.5 backbone file	8271
tests/test_planA_k_metaniche_hardening.py	yes	approved M0-M2.5 backbone file	5034
tests/test_planA_k_metaniche_pilot.py	yes	approved M0-M2.5 backbone file	6128
tests/test_planA_k_production_preflight.py	yes	approved M0-M2.5 backbone file	6776
